=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
60: YoY					1.08	5.68	1.69	2.01	0.82	0.19	0.93	0.51	0.48	0.34	0.47	0.17	0.41	0.13	-0.04	0.12	-0.16	0.12	0.09	0.16	-0.81			
61: MX	197	1243	1350	1498	1118	1399	990	1925	341																			
62: QoQ		5.31	0.09	0.11	-0.25	0.25	-0.29	0.94	-0.82																			
63: YoY					4.68	0.13	-0.27	0.29	-0.69																			
64: AU		1211	1041	1313.5	250.5																							
65: QoQ			-0.14	0.26	-0.81																							
66: YoY																												
69: 		avg. clicks/quarter				avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1		avg. clicks/quarter	YoY	Vs. Year 1
70: 	CA '20	15349.5			CA '21	57866.5	2.77	86.38	CA '22	83318.5	0.44	124.82	CA '23	105163	0.26	157.8	CA '24	138262	0.31	207.79	CA '25	150754.25	0.09	226.65	CA '26	36960	-0.75	54.81
71: 	MX '24	29355.33			MX '25	29723.5	0.01	20.8	MX '26	7851	-0.74	4.76	MX '27	#DIV/0!	#DIV/0!	#DIV/0!	MX '28	#DIV/0!	#DIV/0!	#DIV/0!	MX '29	#DIV/0!	#DIV/0!	#DIV/0!	MX '30	#DIV/0!	#DIV/0!	#DIV/0!
72: Brand Quarterly clicks	AU '25	13519.67			AU '26	3693	-0.73	2.11	AU '27	#DIV/0!	#DIV/0!	#DIV/0!	AU '28	#DIV/0!	#DIV/0!	#DIV/0!	AU '29	#DIV/0!	#DIV/0!	#DIV/0!	AU '30	#DIV/0!	#DIV/0!	#DIV/0!	AU '31	#DIV/0!	#DIV/0!	#DIV/0!
73: Market	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
