Market	Segment	Month	Clicks	Cost	CPC	Impressions	CTR	Regs	CPA
CA	2022-05	22207	28309.45	1.27	941	30.08
CA	2022-06	24183	30209.29	1.25	1134	26.64
CA	2022-07	24663	29313.66	1.19	992	29.55
CA	2022-08	26498	32330.25	1.22	921	35.10
CA	2022-09	26272	32018.24	1.22	853	37.54
CA	2022-10	31875	31702.47	0.99	1215	26.09
CA	2022-11	27233	29551.03	1.09	974	30.34
CA	2022-12	20088	25913.76	1.29	663	39.09
CA	2023-01	25209	32296.32	1.28	1021	31.63
CA	2023-02	23014	30329.73	1.32	815	37.21
CA	2023-03	24549	31520.33	1.28	824	38.25
CA	2023-04	24324	31488.06	1.29	871	36.15
CA	2023-05	24326	31385.92	1.29	1048	29.95
CA	2023-06	24231	30264.48	1.25	1085	27.89
CA	2023-07	28244	32787.55	1.16	1176	27.88
CA	2023-08	27191	32124.50	1.18	1191	26.97
CA	2023-09	32468	36747.61	1.13	1352	27.18
CA	2023-10	33241	43375.35	1.30	1392	31.16
CA	2023-11	33516	39843.73	1.19	1278	31.18
CA	2023-12	27832	35511.67	1.28	1233	28.80
CA	2024-01	39144	47721.34	1.22	1735	27.51
CA	2024-02	39985	53757.53	1.34	1824	29.47
CA	2024-03	39866	47085.34	1.18	1824	25.81
CA	2024-04	41113	42135.44	1.02	1718	24.53
CA	2024-05	41876	44050.44	1.05	1564	28.17
CA	2024-06	39196	44197.72	1.13	1471	30.05
CA	2024-07	47979	68229.37	1.42	1519	44.92
CA	2024-08	42257	70259.66	1.66	1335	52.63
CA	2024-09	43117	62623.68	1.45	1486	42.14
CA	2024-10	48735	67120.13	1.38	1799	37.31
CA	2024-11	49538	68439.40	1.38	1695	40.38
CA	2024-12	42369	63533.32	1.50	1328	47.84
CA	2025-01	49141	72868.91	1.48	1641	44.41
CA	2025-02	39601	61857.19	1.56	1269	48.74
CA	2025-03	42603	66059.50	1.55	1295	51.01
CA	2025-04	43530	64514.54	1.48	1703	37.88
CA	2025-05	45440	76170.98	1.68	1695	44.94
CA	2025-06	43383	71046.97	1.64	1640	43.32
CA	2025-07	45347	85939.77	1.90	1666	51.58
CA	2025-08	42753	80225.31	1.88	1379	58.18
CA	2025-09	51171	88258.04	1.72	1536	57.46
CA	2025-10	49919	74099.56	1.48	1710	43.33
CA	2025-11	52353	76751.29	1.47	1893	40.54
CA	2025-12	48335	84592.69	1.75	1783	47.44
CA	2026-01	33702	66425.48	1.97	1053	63.08
MX	2024-03	3883	4035.99	1.04	197	20.49
MX	2024-04	8029	8103.58	1.01	425	19.07
MX	2024-05	8909	12998.47	1.46	429	30.30
MX	2024-06	8517	8321.01	0.98	389	21.39
MX	2024-07	11770	6706.53	0.57	513	13.07
MX	2024-08	9641	4650.86	0.48	441	10.55
MX	2024-09	9429	3697.00	0.39	396	9.34
MX	2024-10	11191	4277.99	0.38	593	7.21
MX	2024-11	10977	3217.60	0.29	532	6.05
MX	2024-12	9603	3061.58	0.32	373	8.21
MX	2025-01	10086	3635.65	0.36	463	7.85
MX	2025-02	8442	2564.81	0.30	342	7.50
MX	2025-03	8659	2017.07	0.23	313	6.44
MX	2025-04	9439	5825.07	0.62	491	11.86
MX	2025-05	9406	7696.61	0.82	470	16.38
MX	2025-06	10063	7703.85	0.77	438	17.59
MX	2025-07	10002	7611.40	0.76	421	18.08
MX	2025-08	7651	4218.09	0.55	272	15.51
MX	2025-09	7761	4148.26	0.53	297	13.97
MX	2025-10	11478	5426.91	0.47	611	8.88
MX	2025-11	13285	8280.11	0.62	664	12.47
MX	2025-12	12622	6547.64	0.52	650	10.07
MX	2026-01	7851	6058.72	0.77	341	17.77
