Market	Segment	Month	Clicks	Cost	CPC	Impressions	CTR	Regs	CPA
CA	NB	2025-10	45362	88984.09	1.96	457165	0.0992	735	121.07
CA	NB	2025-11	41049	75526.34	1.84	414129	0.0991	547	138.07
CA	NB	2025-12	35192	68400.91	1.94	400805	0.0878	401	170.58
CA	NB	2026-01	18277	34029.44	1.86	202347	0.0903	231	147.31
CA	Other	2019-10	1793	2028.69	1.13	28196	0.0636	0	0.00
CA	Other	2019-11	72611	120358.37	1.66	1181030	0.0615	0	0.00
CA	Other	2019-12	52730	86163.91	1.63	1001276	0.0527	0	0.00
CA	Other	2020-01	61118	80975.07	1.32	1045055	0.0585	0	0.00
CA	Other	2020-02	47065	70964.10	1.51	842381	0.0559	0	0.00
CA	Other	2020-03	50482	73511.35	1.46	888796	0.0568	0	0.00
CA	Other	2020-05	106	140.56	1.33	475	0.2232	0	0.00
CA	Other	2020-06	122	74.91	0.61	629	0.1940	0	0.00
CA	Other	2020-07	172	146.82	0.85	789	0.2180	0	0.00
CA	Other	2020-08	198	143.75	0.73	903	0.2193	0	0.00
CA	Other	2020-09	4582	6391.69	1.39	346284	0.0132	0	0.00
CA	Other	2020-10	6705	5705.15	0.85	1284758	0.0052	0	0.00
CA	Other	2020-11	6452	5229.60	0.81	1018628	0.0063	0	0.00
CA	Other	2020-12	4511	3664.22	0.81	643645	0.0070	0	0.00
CA	Other	2021-01	4684	4175.08	0.89	813630	0.0058	0	0.00
CA	Other	2021-02	9044	7761.81	0.86	204852	0.0441	0	0.00
CA	Other	2021-03	1674	1323.08	0.79	15098	0.1109	0	0.00
CA	Other	2021-04	2383	2715.20	1.14	27222	0.0875	0	0.00
CA	Other	2021-05	9042	17917.15	1.98	167156	0.0541	0	0.00
CA	Other	2021-06	19519	42368.44	2.17	314311	0.0621	0	0.00
CA	Other	2021-07	6027	6247.73	1.04	93230	0.0646	0	0.00
CA	Other	2021-08	13110	31497.33	2.40	197434	0.0664	14	2249.81
CA	Other	2021-09	4550	7106.09	1.56	51704	0.0880	69	102.99
CA	Other	2021-10	22088	59586.10	2.70	322785	0.0684	451	132.12
CA	Other	2021-11	38146	114780.88	3.01	576638	0.0662	850	135.04
CA	Other	2021-12	24249	72953.65	3.01	387156	0.0626	404	180.58
CA	Other	2022-01	29939	83891.74	2.80	450924	0.0664	541	155.07
CA	Other	2022-02	34682	77044.86	2.22	588620	0.0589	460	167.49
CA	Other	2022-03	28384	79264.57	2.79	436811	0.0650	494	160.45
CA	Other	2022-04	26008	91988.91	3.54	412793	0.0630	405	227.13
CA	Other	2022-05	33865	154339.27	4.56	611847	0.0553	475	324.92
CA	Other	2022-06	28726	125462.98	4.37	525928	0.0546	537	233.64
CA	Other	2022-07	26238	116103.32	4.43	460785	0.0569	500	232.21
CA	Other	2022-08	27631	104869.25	3.80	467597	0.0591	471	222.65
CA	Other	2022-09	25626	89078.64	3.48	419568	0.0611	408	218.33
CA	Other	2022-10	36775	127118.99	3.46	520345	0.0707	843	150.79
CA	Other	2022-11	337673	127675.61	0.38	10161808	0.0332	694	183.97
CA	Other	2022-12	75597	93167.31	1.23	1884303	0.0401	526	177.12
CA	Other	2023-01	35245	111433.96	3.16	489562	0.0720	842	132.34
CA	Other	2023-02	65800	126627.65	1.92	3292846	0.0200	810	156.33
CA	Other	2023-03	44939	84041.46	1.87	1877555	0.0239	647	129.89
CA	Other	2023-04	16837	26212.74	1.56	147851	0.1139	558	46.98
CA	Other	2023-05	25453	58144.69	2.28	304916	0.0835	754	77.11
CA	Other	2023-06	26599	68198.81	2.56	328003	0.0811	773	88.23
CA	Other	2023-07	30635	82336.57	2.69	357360	0.0857	839	98.14
CA	Other	2023-08	20768	59772.41	2.88	283695	0.0732	642	93.10
CA	Other	2023-09	13633	53809.96	3.95	268339	0.0508	512	105.10
CA	Other	2023-10	12638	49734.85	3.94	140988	0.0896	474	104.93
CA	Other	2023-11	10383	31209.75	3.01	96514	0.1076	407	76.68
CA	Other	2023-12	8114	21986.71	2.71	72444	0.1120	325	67.65
CA	Other	2024-01	10260	25947.32	2.53	93158	0.1101	442	58.70
CA	Other	2024-02	10615	27584.04	2.60	97067	0.1094	521	52.94
CA	Other	2024-03	20939	59402.65	2.84	185674	0.1128	897	66.22
CA	Other	2024-04	28500	88792.06	3.12	276209	0.1032	1281	69.31
CA	Other	2024-05	37150	95060.93	2.56	358847	0.1035	834	113.98
CA	Other	2024-06	38970	84248.93	2.16	356196	0.1094	852	98.88
CA	Other	2024-07	47625	102726.67	2.16	455574	0.1045	911	112.76
CA	Other	2024-08	46739	96169.79	2.06	398983	0.1171	889	108.18
CA	Other	2024-09	46506	93440.96	2.01	387311	0.1201	867	107.78
CA	Other	2024-10	46781	105350.21	2.25	401521	0.1165	994	105.99
CA	Other	2024-11	34908	98378.55	2.82	295526	0.1181	644	152.76
CA	Other	2024-12	21616	75032.40	3.47	176591	0.1224	433	173.28
CA	Other	2025-01	21135	77080.88	3.65	181662	0.1163	488	157.95
CA	Other	2025-02	17196	61933.23	3.60	141503	0.1215	389	159.21
CA	Other	2025-03	19090	67413.83	3.53	155576	0.1227	381	176.94
CA	Other	2025-04	16337	68659.65	4.20	115182	0.1418	432	158.93
CA	Other	2025-05	18537	64666.69	3.49	138257	0.1341	567	114.05
CA	Other	2025-06	20986	57266.79	2.73	173186	0.1212	676	84.71
CA	Other	2025-07	33461	102242.65	3.06	252787	0.1324	991	103.17
CA	Other	2025-08	35411	88633.12	2.50	232532	0.1523	926	95.72
CA	Other	2025-09	37128	83913.58	2.26	245025	0.1515	865	97.01
CA	Other	2025-10	39601	100355.95	2.53	257595	0.1537	1010	99.36
CA	Other	2025-11	39082	97829.15	2.50	245993	0.1589	776	126.07
CA	Other	2025-12	35822	93621.01	2.61	282225	0.1269	739	126.69
CA	Other	2026-01	21738	55120.98	2.54	155118	0.1401	414	133.14
MX	Brand	2024-03	3883	4035.99	1.04	9354	0.4151	197	20.49
MX	Brand	2024-04	8029	8103.58	1.01	15530	0.5170	425	19.07
MX	Brand	2024-05	8909	12998.47	1.46	15381	0.5792	429	30.30
MX	Brand	2024-06	8517	8321.01	0.98	14591	0.5837	389	21.39
MX	Brand	2024-07	11770	6706.53	0.57	17978	0.6547	513	13.07
MX	Brand	2024-08	9641	4650.86	0.48	14386	0.6702	441	10.55
MX	Brand	2024-09	9429	3697.00	0.39	14377	0.6558	396	9.34
MX	Brand	2024-10	11191	4277.99	0.38	17102	0.6544	593	7.21
MX	Brand	2024-11	10977	3217.60	0.29	15767	0.6962	532	6.05
MX	Brand	2024-12	9603	3061.58	0.32	15036	0.6387	373	8.21
MX	Brand	2025-01	10086	3635.65	0.36	15986	0.6309	463	7.85
MX	Brand	2025-02	8442	2564.81	0.30	17267	0.4889	342	7.50
MX	Brand	2025-03	8659	2017.07	0.23	18301	0.4731	313	6.44
MX	Brand	2025-04	9439	5825.07	0.62	25226	0.3742	491	11.86
MX	Brand	2025-05	9406	7696.61	0.82	35541	0.2647	470	16.38
MX	Brand	2025-06	10063	7703.85	0.77	39220	0.2566	438	17.59
MX	Brand	2025-07	10002	7611.40	0.76	38958	0.2567	421	18.08
MX	Brand	2025-08	7651	4218.09	0.55	27944	0.2738	272	15.51
MX	Brand	2025-09	7761	4148.26	0.53	25815	0.3006	297	13.97
MX	Brand	2025-10	11478	5426.91	0.47	32171	0.3568	611	8.88
MX	Brand	2025-11	13285	8280.11	0.62	36858	0.3604	664	12.47
MX	Brand	2025-12	12622	6547.64	0.52	35335	0.3572	650	10.07
MX	Brand	2026-01	7851	6058.72	0.77	25355	0.3096	341	17.77
MX	NB	2024-03	14212	23184.51	1.63	95812	0.1483	163	142.24
MX	NB	2024-04	28130	40461.81	1.44	197840	0.1422	286	141.47
MX	NB	2024-05	44417	68048.49	1.53	351913	0.1262	370	183.91
MX	NB	2024-06	54149	85697.74	1.58	401208	0.1350	413	207.50
MX	NB	2024-07	78413	113293.55	1.44	605124	0.1296	605	187.26
MX	NB	2024-08	87331	89392.28	1.02	633708	0.1378	702	127.34
MX	NB	2024-09	72234	93712.67	1.30	525506	0.1375	537	174.51
MX	NB	2024-10	71612	122629.60	1.71	570847	0.1254	590	207.85
MX	NB	2024-11	58930	128097.19	2.17	527243	0.1118	430	297.90
MX	NB	2024-12	42257	101744.72	2.41	390789	0.1081	267	381.07
MX	NB	2025-01	54982	109627.58	1.99	456892	0.1203	393	278.95
MX	NB	2025-02	43498	99754.80	2.29	388032	0.1121	349	285.83
MX	NB	2025-03	41876	104616.60	2.50	366827	0.1142	392	266.88
MX	NB	2025-04	34935	98578.79	2.82	263542	0.1326	403	244.61
MX	NB	2025-05	38118	79329.77	2.08	350361	0.1088	333	238.23
MX	NB	2025-06	38768	64449.55	1.66	396255	0.0978	420	153.45
MX	NB	2025-07	50079	67724.40	1.35	454049	0.1103	479	141.39
MX	NB	2025-08	31654	30122.47	0.95	247804	0.1277	334	90.19
MX	NB	2025-09	25135	23463.51	0.93	194484	0.1292	225	104.28
MX	NB	2025-10	41472	43151.74	1.04	336323	0.1233	407	106.02
MX	NB	2025-11	41690	48729.19	1.17	290513	0.1435	367	132.78
MX	NB	2025-12	25195	23680.75	0.94	179783	0.1401	275	86.11
MX	NB	2026-01	24229	22804.04	0.94	167177	0.1449	205	111.24
