Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
bocinas por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.78,1.78,Keyword
tiendas de mayoreo en monterrey,Phrase match (close variant),None,MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",1,2,50.00%,USD,2.12,2.12,Keyword
owala mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,4,75.00%,USD,2.73,8.19,Keyword
descargar factura amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""como sacar factura en amazon""",1,4,25.00%,USD,8.91,8.91,Keyword
office depot mexico,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,41,4.88%,USD,1.87,3.74,Keyword
office depot juarez,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,1,100.00%,USD,1.83,1.83,Keyword
silla ejecutiva stc 4tune negro,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,2,50.00%,USD,0.90,0.90,Keyword
precio papel bond tamaño carta,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,2,50.00%,USD,1.26,1.26,Keyword
tony papelerias,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,74,2.70%,USD,1.68,3.36,Keyword
escritorio para oficina,Exact match,Added,MX - Office,Office Furniture_Exact,[escritorio para oficina],3,33,9.09%,USD,2.31,6.93,Keyword
tenis para revender,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",1,3,33.33%,USD,0.49,0.49,Keyword
tenis de importacion al mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Clothing_Phrase,"""zapatos en venta al por mayor""",1,2,50.00%,USD,1.77,1.77,Keyword
compra de juguetes por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Toys Shop_Phrase,"""distribuidores de juguetes""",1,2,50.00%,USD,1.16,1.16,Keyword
accesorios para mascotas mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Pet Shop_Phrase,"""proveedores de tiendas de mascotas""",1,8,12.50%,USD,3.39,3.39,Keyword
distribucion de productos para mascotas,Exact match (close variant),None,MX - Shops,Shops_Suppliers_Pet Shop_Phrase,"""proveedores de tiendas de mascotas""",1,4,25.00%,USD,1.74,1.74,Keyword
usb por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,6,33.33%,USD,1.48,2.96,Keyword
proveedor tenis originales,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",1,1,100.00%,USD,1.76,1.76,Keyword
distribuidor de productos de limpieza,Exact match (close variant),None,MX - Janitorial,Wholesales_Phrase,"""venta al por mayor de artículos de limpieza""",1,3,33.33%,USD,1.86,1.86,Keyword
difusores de aroma para hoteles,Phrase match (close variant),None,MX - Hospitality,Generic_Phrase,"""equipo para hotel""",1,4,25.00%,USD,2.40,2.40,Keyword
proveedores de ropa en guadalajara,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",4,34,11.76%,USD,0.71,2.85,Keyword
ropa interior mujer mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",2,3,66.67%,USD,0.85,1.70,Keyword
distribuidor de perfumes tester,Phrase match (close variant),None,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",1,1,100.00%,USD,1.57,1.57,Keyword
perfumes mayoreo guadalajara,Phrase match (close variant),None,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",1,5,20.00%,USD,2.41,2.41,Keyword
venta de material de curación por mayoreo,Phrase match (close variant),None,MX - Medical,Suppliers_Phrase,"""proveedor médico""",1,1,100.00%,USD,2.39,2.39,Keyword
proveedores para refaccionaria automotriz,Phrase match (close variant),None,MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",1,14,7.14%,USD,2.06,2.06,Keyword
papelerías en guadalajara por mayoreo,Phrase match (close variant),None,MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",1,2,50.00%,USD,0.58,0.58,Keyword
amazon ads partner network,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",1,2,50.00%,USD,3.47,3.47,Keyword
business amazon com,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon for business""",1,2,50.00%,USD,0.62,0.62,Keyword
proveedor de amazon,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",2,12,16.67%,USD,2.12,4.24,Keyword
four loko mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",3,4,75.00%,USD,0.93,2.80,Keyword
buldak distribuidor,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",2,7,28.57%,USD,1.31,2.62,Keyword
sillas alta para barra,Phrase match (close variant),None,MX - Food,Furniture_Restaurant_Phrase,"""sillas de bar""",1,1,100.00%,USD,2.75,2.75,Keyword
utensilios para taqueria,Phrase match (close variant),None,MX - Food,Products_Phrase,"""productos para hostelería""",2,1,200.00%,USD,3.54,7.08,Keyword
platos y vasos de plástico por mayoreo,Phrase match (close variant),None,MX - Food,Plates_Wholesale_Phrase,"""platos al por mayor""",1,2,50.00%,USD,1.16,1.16,Keyword
cerveza mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",2,14,14.29%,USD,1.50,2.99,Keyword
proveedores de vajillas para restaurantes,Phrase match (close variant),None,MX - Food,Cultlery_Phrase,"""vajilla profesional""",1,1,100.00%,USD,0.34,0.34,Keyword
proveedores de dulces al mayoreo,Exact match (close variant),None,MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",1,1,100.00%,USD,1.02,1.02,Keyword
baño maría industrial a gas,Phrase match (close variant),None,MX - Food,Shop_Phrase,"""tienda de hostelería""",1,1,100.00%,USD,0.90,0.90,Keyword
catalogo food service,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",1,2,50.00%,USD,1.83,1.83,Keyword
tazas ceramica mayoreo,Phrase match (close variant),None,MX - Food,Kitchen Tools_Suppliers_Phrase,"""proveedores tazas""",1,1,100.00%,USD,1.78,1.78,Keyword
cafetera industrial para negocio,Phrase match (close variant),None,MX - Food,Generic_Restaurant_Phrase,"""suministros para restaurantes""",1,1,100.00%,USD,1.48,1.48,Keyword
tequileros de vidrio mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,1,100.00%,USD,1.38,1.38,Keyword
productos mayoreo para vender,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",1,1,100.00%,USD,1.03,1.03,Keyword
surtir tienda de abarrotes,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",1,2,50.00%,USD,1.58,1.58,Keyword
proveedores de relojes,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",1,1,100.00%,USD,2.31,2.31,Keyword
