Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
proveedor de zapatos,Exact match (close variant),None,MX - Shops,Shops_Wholesales_Clothing_Phrase,"""zapatos en venta al por mayor""",1,2,50.00%,USD,4.02,4.02,Keyword
office depot texcoco,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",2,4,50.00%,USD,1.01,2.02,Keyword
sillas de escritorio baratas,Exact match (close variant),None,MX - Office,Office Furniture_Exact,"""sillas para oficina economicas""",1,5,20.00%,USD,2.42,2.42,Keyword
etiquetas adhesivas industriales,Phrase match (close variant),None,MX - Office,Office Supplies_Distributors_Phrase,"""distribuidores de etiquetas""",1,1,100.00%,USD,0.98,0.98,Keyword
difusores para hoteles,Phrase match (close variant),None,MX - Hospitality,Generic_Phrase,"""equipo para hotel""",1,1,100.00%,USD,0.72,0.72,Keyword
jergas por mayoreo,Phrase match (close variant),None,MX - Janitorial,Wholesalers_Phrase,"""mayoristas de artículos de limpieza""",2,1,200.00%,USD,1.55,3.10,Keyword
ropa deportiva por mayoreo,Exact match (close variant),None,MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",4,16,25.00%,USD,1.44,5.75,Keyword
comprar pacas de ropa americana,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",1,4,25.00%,USD,0.88,0.88,Keyword
proveedores de ropa por mayoreo,Exact match (close variant),None,MX - Apparel,Clothing_Exact,[comprar ropa al por mayor],2,5,40.00%,USD,0.91,1.81,Keyword
ropa inditex mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,4,25.00%,USD,0.60,0.60,Keyword
sheglam distribuidor,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,2,50.00%,USD,1.49,1.49,Keyword
maquillaje de mayoreo en mexico,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,1,100.00%,USD,1.41,1.41,Keyword
pink up cosmetics mayoreo,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,5,40.00%,USD,1.27,2.54,Keyword
labello mayoreo,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,6,16.67%,USD,1.45,1.45,Keyword
venta de productos de belleza por mayoreo,Exact match (close variant),None,MX - Beauty,Makeup_Wholesale_Exact,[productos de belleza al por mayor],1,3,33.33%,USD,2.90,2.90,Keyword
productos de belleza mayoreo,Exact match (close variant),None,MX - Beauty,Wholesalers_Cosmetics_Exact,[mayoristas de cosmética],4,7,57.14%,USD,0.81,3.25,Keyword
distribuidor de maquillaje original,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,2,100.00%,USD,1.12,2.24,Keyword
máquina de helados para negocio amazon,Phrase match,None,MX - Brand Phrase,Pure_Phrase,"""amazon para negocios""",13,33,39.39%,USD,3.33,43.25,Keyword
amazon business login,Phrase match (close variant),None,MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",14,30,46.67%,USD,0.14,1.99,Keyword
vasos por mayoreo para personalizar,Phrase match (close variant),None,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,6,33.33%,USD,2.56,5.12,Keyword
donde comprar abarrotes por mayor baratos,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",1,1,100.00%,USD,1.84,1.84,Keyword
vasos de restaurante,Phrase match (close variant),None,MX - Food,Cultlery_Phrase,"""vajilla profesional""",2,1,200.00%,USD,2.22,4.44,Keyword
máquina de hielo industrial,Exact match (close variant),None,MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",2,42,4.76%,USD,1.20,2.39,Keyword
ventas de mayoreo en monterrey,Phrase match (close variant),None,MX - Generic,Suppliers_Enterprises_Phrase,"""proveedores comerciales""",1,2,50.00%,USD,1.41,1.41,Keyword
frascos para salsas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",2,5,40.00%,USD,1.74,3.49,Keyword
frascos de vidrio con tapa mayoreo cdmx,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",1,1,100.00%,USD,3.15,3.15,Keyword
articulos para revender en mexico,Phrase match (close variant),None,MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",1,8,12.50%,USD,4.12,4.12,Keyword
como encontrar proveedores mayoristas,Exact match (close variant),None,MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],1,10,10.00%,USD,0.58,0.58,Keyword
tiendas mayoristas de abarrotes,Phrase match (close variant),None,MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",1,1,100.00%,USD,0.71,0.71,Keyword
compras por mayoreo,Exact match (close variant),None,MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],1,2,50.00%,USD,1.03,1.03,Keyword
venta de novedades por mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",1,3,33.33%,USD,6.69,6.69,Keyword
donde comprar cosas baratas para revender,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",2,7,28.57%,USD,0.46,0.92,Keyword
maquillaje por mayoreo original,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,1,100.00%,USD,1.53,1.53,Keyword
dulces sueltos por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,1,100.00%,USD,2.02,2.02,Keyword
playeras de poliester mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,3,33.33%,USD,1.76,1.76,Keyword
tienda mayoreo en linea,Exact match (close variant),None,MX - Generic,Wholesales_Exact,[comprar al por mayor en línea],2,10,20.00%,USD,0.76,1.51,Keyword
plantillas para zapatos por mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",1,1,100.00%,USD,3.13,3.13,Keyword
loncheras hey life mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.62,1.62,Keyword
proveedor de articulos promocionales,Phrase match (close variant),None,MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",1,1,100.00%,USD,3.29,3.29,Keyword
como facturar pedidos de amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",5,20,25.00%,USD,4.36,21.82,Keyword
descargar factura de amazon,Exact match,Added,MX - Invoice AMZ,Invoicing_Exact,[descargar factura de amazon],1,2,50.00%,USD,3.03,3.03,Keyword
juguetes económicos por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesalers_Toys Shop_Phrase,"""mayoristas de juguetes""",1,1,100.00%,USD,0.88,0.88,Keyword
proveedores de tenis originales por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",3,17,17.65%,USD,1.82,5.47,Keyword
que es amazon business mexico,Exact match (close variant),None,MX - Brand Exact,Pure_Exact,[amazon negocios mexico],2,12,16.67%,USD,3.26,6.52,Keyword
hojas blancas tamaño carta,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,87,1.15%,USD,0.98,0.98,Keyword
precio de silla secretarial,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,1,100.00%,USD,2.06,2.06,Keyword
archivero blanco,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""equipamiento escritorio""",1,2,50.00%,USD,1.50,1.50,Keyword
articulos de papeleria por mayoreo,Exact match (close variant),None,MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],3,12,25.00%,USD,1.65,4.95,Keyword
papel de baño por mayoreo,Phrase match (close variant),None,MX - Janitorial,Paper_Wholesale_Phrase,"""mayorista de productos de papel""",3,8,37.50%,USD,0.98,2.95,Keyword
percarbonato de sodio donde comprar,Phrase match (close variant),None,MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",4,15,26.67%,USD,1.20,4.78,Keyword
jabones para hoteles por mayor,Phrase match (close variant),None,MX - Janitorial,Soap_Wholesale_Phrase,"""jabón mayorista""",1,1,100.00%,USD,0.84,0.84,Keyword
jabon en polvo a granel mayoreo,Phrase match (close variant),None,MX - Janitorial,Soap_Wholesale_Phrase,"""mayorista de jabón""",1,1,100.00%,USD,1.62,1.62,Keyword
jabones hoteleros,Exact match (close variant),None,MX - Hospitality,Products_Exact,[jabón para hotel],1,9,11.11%,USD,1.29,1.29,Keyword
mini jabones para hoteles,Phrase match (close variant),None,MX - Hospitality,Products_Phrase,"""jabón para hotel""",2,3,66.67%,USD,0.76,1.52,Keyword
ropa deportiva para revender,Exact match (close variant),None,MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",2,2,100.00%,USD,1.73,3.46,Keyword
pacas de playeras de marca,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",1,1,100.00%,USD,0.80,0.80,Keyword
playeras tipo polo mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,3,33.33%,USD,0.95,0.95,Keyword
ropa para revender directo de fábrica,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",5,26,19.23%,USD,0.91,4.53,Keyword
playeras de bambú por mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,2,50.00%,USD,0.72,0.72,Keyword
sudadera mayoreo,Exact match (close variant),None,MX - Apparel,Tops_Wholesales_Exact,[comprar sudaderas al por mayor],1,9,11.11%,USD,3.47,3.47,Keyword
distribuidores de ropa al por mayor,Exact match (close variant),None,MX - Apparel,Clothing_Exact,[ropa por mayoreo],1,2,50.00%,USD,0.70,0.70,Keyword
maquillaje maybelline mayoreo,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,6,16.67%,USD,1.16,1.16,Keyword
venta de material para uñas por mayoreo cdmx,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,1,100.00%,USD,1.45,1.45,Keyword
proveedores de skin care,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,1,100.00%,USD,1.37,1.37,Keyword
proveedor perfumes,Exact match (close variant),None,MX - Beauty,Fragrance_Wholesale_Exact,[perfume al por mayor],1,8,12.50%,USD,0.66,0.66,Keyword
extintores tipo granada,Phrase match (close variant),None,MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de extintores""",1,1,100.00%,USD,2.19,2.19,Keyword
mayoristas cctv,Phrase match (close variant),None,MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",1,1,100.00%,USD,2.96,2.96,Keyword
venta por mayoreo de papeleria,Phrase match (close variant),None,MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",1,2,50.00%,USD,1.29,1.29,Keyword
herramientas hilti precios,Phrase match (close variant),None,MX - Crafts,Hand Tools_Phrase,"""herramientas eléctricas profesionales""",1,1,100.00%,USD,2.14,2.14,Keyword
pinzas vise grip precio,Phrase match (close variant),None,MX - Crafts,Hand Tools_Phrase,"""herramientas manuales profesionales""",1,2,50.00%,USD,1.92,1.92,Keyword
corporativo amazon mexico,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",2,49,4.08%,USD,5.10,10.20,Keyword
https logistics amazon com mx hubdelivery,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",1,4,25.00%,USD,2.25,2.25,Keyword
amazon business vs normal,Phrase match (close variant),None,MX - Brand Phrase,Account_Phrase,"""amazon business cuenta""",1,1,100.00%,USD,3.49,3.49,Keyword
playeras tipo polo para uniformes,Phrase match (close variant),None,MX - Industrial,Clothing_Phrase,"""ropa industrial""",1,2,50.00%,USD,1.67,1.67,Keyword
buzzballz mayoreo,Phrase match (close variant),None,MX - Food,Wholesales_Food_Phrase,"""venta de bebidas al por mayor""",1,2,50.00%,USD,1.21,1.21,Keyword
queso mayoreo,Phrase match (close variant),None,MX - Food,Food_Distributor_Phrase,"""distribuidor de productos lácteos""",1,1,100.00%,USD,1.66,1.66,Keyword
aceite por mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,3,66.67%,USD,1.44,2.87,Keyword
leche en polvo mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""productos lácteos al por mayor""",1,2,50.00%,USD,0.65,0.65,Keyword
venta de toallas por mayoreo cdmx,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",2,3,66.67%,USD,1.23,2.46,Keyword
costo de hornos para panaderia,Phrase match (close variant),None,MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",1,1,100.00%,USD,1.50,1.50,Keyword
pantuflas desechables mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,4,25.00%,USD,2.92,2.92,Keyword
como comprar por mayoreo,Phrase match (close variant),None,MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",1,2,50.00%,USD,0.34,0.34,Keyword
productos chinos mayoreo,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,13,23.08%,USD,1.78,5.35,Keyword
frijol por mayoreo,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",1,1,100.00%,USD,2.04,2.04,Keyword
tiendas en monterrey de mayoreo,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",1,3,33.33%,USD,2.02,2.02,Keyword
sillas y mesas por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",2,5,40.00%,USD,1.22,2.44,Keyword
donde comprar productos chinos para vender,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",7,23,30.43%,USD,2.67,18.68,Keyword
mayorista de desechables,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",1,1,100.00%,USD,2.09,2.09,Keyword
peelerz gomitas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,4,25.00%,USD,1.51,1.51,Keyword
playeras basicas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,1,100.00%,USD,1.55,1.55,Keyword
termos al mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",4,14,28.57%,USD,2.77,11.07,Keyword
envases de plástico mayoreo puebla,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,9,11.11%,USD,0.77,0.77,Keyword
abasteo mx,Phrase match (close variant),None,MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",5,65,7.69%,USD,1.48,7.38,Keyword
sombrillas para niños al por mayor,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,3,33.33%,USD,1.74,1.74,Keyword
maquillaje al mayoreo mexico,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,1,100.00%,USD,2.52,2.52,Keyword
articulos para tienda de abarrotes,Phrase match (close variant),None,MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",1,2,50.00%,USD,1.99,1.99,Keyword
proveedores para tienda de abarrotes,Phrase match (close variant),None,MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor para negocios""",1,2,50.00%,USD,1.96,1.96,Keyword
radios ptt pro,Phrase match (close variant),None,MX - Electronics,Audio Components_Phrase,"""equipo de radio profesional""",1,2,50.00%,USD,2.32,2.32,Keyword
como se factura en amazon,Exact match (close variant),Added,MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",6,21,28.57%,USD,5.77,34.63,Keyword
como facturar un pedido en amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""como puedo facturar en amazon""",1,1,100.00%,USD,7.54,7.54,Keyword
amazon business iniciar sesion,Exact match (close variant),None,MX - Brand Exact,Prime_Exact,[amazon business prime login],2,4,50.00%,USD,1.85,3.69,Keyword
crear cuenta amazon business,Exact match,Added,MX - Brand Exact,Account_Exact,[crear cuenta amazon business],20,51,39.22%,USD,0.36,7.23,Keyword
jbl mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Wholesales_Electronics_Phrase,"""productos electrónicos al por mayor""",2,3,66.67%,USD,1.76,3.51,Keyword
venta de bolsos para dama por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Accessories_Phrase,"""proveedores de accesorios de moda""",1,1,100.00%,USD,0.41,0.41,Keyword
donde puedo comprar tenis originales por mayoreo,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",2,4,50.00%,USD,1.59,3.17,Keyword
escritorio de oficina,Exact match (close variant),None,MX - Office,Office Furniture_Exact,[escritorios para oficina],2,65,3.08%,USD,1.19,2.38,Keyword
repisas para escritorio de oficina,Phrase match (close variant),None,MX - Office,Generic_Phrase,"""suministros oficina""",1,2,50.00%,USD,2.29,2.29,Keyword
papelerias al mayoreo en puebla,Phrase match (close variant),None,MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",1,2,50.00%,USD,1.11,1.11,Keyword
silla para escritorio,Exact match (close variant),None,MX - Office,Furniture_Exact,[sillas oficina],12,120,10.00%,USD,1.37,16.45,Keyword
uniformes empresariales,Phrase match (close variant),None,MX - Hospitality,Clothing_Phrase,"""ropa servicio""",2,8,25.00%,USD,2.01,4.01,Keyword
venta de detergente por mayor,Phrase match (close variant),None,MX - Janitorial,Tools_Wholesale_Phrase,"""productos de limpieza al por mayor""",1,1,100.00%,USD,0.97,0.97,Keyword
mayoreo papelería,Phrase match (close variant),None,MX - Janitorial,Paper_Wholesale_Phrase,"""mayorista de productos de papel""",1,1,100.00%,USD,0.49,0.49,Keyword
playeras blancas algodon mayoreo,Phrase match (close variant),None,MX - Apparel,Tops_Distributor_Phrase,"""distribuidores de camisetas""",1,2,50.00%,USD,2.00,2.00,Keyword
vestidos mayoreo guadalajara,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,2,50.00%,USD,0.81,0.81,Keyword
gloss mayoreo,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,14,14.29%,USD,1.58,3.16,Keyword
proveedores de maquillaje alta gama,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",2,5,40.00%,USD,1.60,3.20,Keyword
distribuidora de productos de belleza mayoreo,Exact match (close variant),None,MX - Beauty,Makeup_Wholesale_Exact,[productos de belleza al por mayor],1,3,33.33%,USD,2.52,2.52,Keyword
distribuidora de maquillaje,Exact match (close variant),None,MX - Beauty,Makeup_Distributors_Exact,[distribuidores de maquillaje],1,3,33.33%,USD,1.99,1.99,Keyword
skincare mayoreo cdmx,Phrase match (close variant),None,MX - Beauty,Skin Care_Wholesale_Phrase,"""mayorista de productos para el cuidado de la piel""",1,2,50.00%,USD,1.54,1.54,Keyword
proveedores de maquillaje americano,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,3,33.33%,USD,1.29,1.29,Keyword
sillas de barbero,Exact match,Added,MX - Beauty,Furniture_Hair_Exact,[sillas de barbero],1,2,50.00%,USD,1.05,1.05,Keyword
distribuidora mayorista maquillaje,Exact match (close variant),None,MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],1,4,25.00%,USD,1.02,1.02,Keyword
cosmeticos mayoreo originales,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,2,50.00%,USD,0.44,0.44,Keyword
kilo de soldadura 7018,Phrase match (close variant),None,MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de soldadura""",1,1,100.00%,USD,1.81,1.81,Keyword
pinzas de presión vise grip original,Phrase match (close variant),None,MX - Crafts,Hand Tools_Phrase,"""herramientas manuales profesionales""",1,2,50.00%,USD,0.70,0.70,Keyword
distribuidores mayoristas de smart tv,Phrase match (close variant),None,MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",1,1,100.00%,USD,0.59,0.59,Keyword
snap on herramientas,Phrase match (close variant),None,MX - Crafts,Hand Tools_Phrase,"""herramientas manuales profesionales""",1,1,100.00%,USD,1.92,1.92,Keyword
amazon business account login,Phrase match (close variant),None,MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",1,2,50.00%,USD,0.86,0.86,Keyword
amazon business app,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",1,3,33.33%,USD,2.44,2.44,Keyword
alitas bachoco mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,8,12.50%,USD,2.21,2.21,Keyword
venta de loza para eventos por mayoreo,Phrase match (close variant),None,MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",1,7,14.29%,USD,1.36,1.36,Keyword
camaron por mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,2,50.00%,USD,1.21,1.21,Keyword
vasos reutilizables mayoreo,Phrase match (close variant),None,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",1,12,8.33%,USD,1.13,1.13,Keyword
grenetina por mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",1,1,100.00%,USD,2.22,2.22,Keyword
restaurant depot méxico,Phrase match (close variant),None,MX - Food,Generic_Restaurant_Phrase,"""suministros para restaurantes""",1,6,16.67%,USD,1.51,1.51,Keyword
herramienta para mecánico automotriz,Phrase match (close variant),None,MX - Automotive,Generic_Phrase,"""equipo para talleres""",1,2,50.00%,USD,2.02,2.02,Keyword
vasos a mayoreo,Phrase match (close variant),None,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",2,2,100.00%,USD,3.65,7.30,Keyword
venta de bolis por mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,3,66.67%,USD,1.67,3.34,Keyword
exhibidor para cafeteria,Phrase match (close variant),None,MX - Food,Shop_Phrase,"""tienda de hostelería""",1,2,50.00%,USD,1.26,1.26,Keyword
abarrote mayoreo,Phrase match (close variant),None,MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",2,2,100.00%,USD,1.56,3.11,Keyword
vasos de plastico con logo,Phrase match (close variant),None,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",1,1,100.00%,USD,3.95,3.95,Keyword
essentials mayoreo,Phrase match (close variant),None,MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",4,12,33.33%,USD,0.87,3.47,Keyword
cosmetiqueras mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",5,28,17.86%,USD,1.27,6.36,Keyword
proveedores de globos al por mayor,Phrase match (close variant),None,MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",1,2,50.00%,USD,2.39,2.39,Keyword
proveedores de suministros,Exact match (close variant),None,MX - Generic,Procurement_Suppliers_Phrase,"""suministro distribuidor""",1,3,33.33%,USD,1.52,1.52,Keyword
mayoristas en mexico,Exact match (close variant),None,MX - Generic,Core_Wholesalers_Exact,[mayorista mexico],2,21,9.52%,USD,1.15,2.30,Keyword
gorras premium mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,6,16.67%,USD,1.74,1.74,Keyword
balones gaser mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""equipo al por mayor""",3,18,16.67%,USD,1.97,5.92,Keyword
carteras dama mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,1,100.00%,USD,3.13,3.13,Keyword
jarras de plastico por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,3,33.33%,USD,1.36,1.36,Keyword
artículos por mayoreo,Exact match (close variant),None,MX - Generic,Wholesales_Exact,[venta al por mayor],1,2,50.00%,USD,1.03,1.03,Keyword
sombreros vaqueros por mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",1,3,33.33%,USD,1.36,1.36,Keyword
tazas blancas mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Phrase,"""al por mayor""",1,4,25.00%,USD,1.08,1.08,Keyword
hatone mayoreo,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",1,2,50.00%,USD,1.72,1.72,Keyword
proveedores de bolsas para dama,Phrase match (close variant),None,MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,4,75.00%,USD,1.05,3.14,Keyword
extintor co2 2.5 kg,Phrase match (close variant),None,MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de extintores""",1,1,100.00%,USD,0.74,0.74,Keyword
como se puede facturar en amazon,Exact match (close variant),None,MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",1,1,100.00%,USD,4.67,4.67,Keyword
como facturar amazon,Exact match,Added,MX - Invoice AMZ,Invoice_Phrase,"""como facturar amazon""",9,55,16.36%,USD,4.86,43.73,Keyword
distribuidor de alimentos para mascotas,Phrase match (close variant),None,MX - Shops,Shops_Suppliers_Pet Shop_Phrase,"""proveedores de tiendas de mascotas""",1,2,50.00%,USD,2.47,2.47,Keyword
tenis originales para revender,Phrase match (close variant),None,MX - Shops,Shops_Distributors_Clothing_Phrase,"""distribuidores de calzado""",2,4,50.00%,USD,1.04,2.07,Keyword
proveedores de papelería al mayoreo en guadalajara,Phrase match (close variant),None,MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",1,4,25.00%,USD,0.46,0.46,Keyword
venta de quimicos de limpieza,Phrase match (close variant),None,MX - Janitorial,Sellers_Supplies_Phrase,"""distribuidores de artículos de limpieza""",1,1,100.00%,USD,2.83,2.83,Keyword
distribuidora ruiz iztacalco,Phrase match (close variant),None,MX - Janitorial,Wholesalers_Phrase,"""mayoristas de artículos de limpieza""",3,21,14.29%,USD,1.42,4.26,Keyword
papel higiénico bambú por mayor,Phrase match (close variant),None,MX - Janitorial,Paper_Wholesale_Phrase,"""mayorista de productos de papel""",1,1,100.00%,USD,2.61,2.61,Keyword
okboth fashion ropa mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,3,33.33%,USD,0.94,0.94,Keyword
venta de ropa por mayoreo,Exact match (close variant),None,MX - Apparel,Clothing_Exact,[ropa para vender por mayoreo],1,15,6.67%,USD,0.83,0.83,Keyword
como conseguir ropa para vender,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,2,50.00%,USD,0.81,0.81,Keyword
