Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
tequila a mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",3,4,3.88
donde comprar paca de ropa americana,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",3,11,2.39
bebidas coreanas mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor bebidas""",3,2,2.32
periqueras para bar,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para bar""",3,18,5.19
abarrotes al mayoreo guadalajara,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,8,4.9
servicios comerciales amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",3,56,10.46
abasteo mx,Phrase match (close variant),MX - Generic,Purchasing_Enterprises_Phrase,"""compra para empresa""",3,31,13.2
suplementos mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,22,4.77
gomitas peelerz mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,11,4.73
mercado libre mayoristas,Phrase match (close variant),MX - Generic,Enterprises_Purchasing_Phrase,"""compras para empresas""",3,3,8.62
botellas de plastico por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,9,6.33
peelerz mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,23,4.51
cajas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,10,4.29
abarrotes mayoreo guadalajara,Phrase match (close variant),MX - Generic,Distributors_Enterprises_Phrase,"""distribuidor comercial""",3,9,8.27
llaveros de peluche mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,20,3.97
trituradoras de papel,Exact match (close variant),MX - Office,Office Organization_Distributors_Exact,[trituradora de documentos],3,33,5.01
freidora electrica industrial,Phrase match (close variant),MX - Food,Shop_Phrase,"""tienda de hostelería""",3,36,3.82
carcasas para celular mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,3,5.73
frascos de vidrio mayoreo monterrey,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,28,4.66
artículos por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],3,11,1.84
gomitas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,9,4.71
tapetes yoga mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,15,4.35
mesas plegables mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,10,5.76
botellas de pet 1 litro mayoreo cdmx,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,21,3.83
tradewheel,Phrase match (close variant),MX - Generic,B2B_Marketplace_Phrase,"""tienda b2b""",3,18,18.72
owala mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,4,8.19
aliexpress proveedores,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",3,13,6.96
venta de perfumes originales por mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Distributors_Phrase,"""distribuidores perfume""",3,8,6.34
proveedores de tintes para cabello en méxico,Phrase match (close variant),MX - Beauty,Hair Styling_Wholesale_Phrase,"""mayorista de productos para el cabello""",3,6,3.99
facturacion en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturacion en amazon""",3,22,9.15
como facturar productos de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",3,11,13.34
maquillaje a mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,11,3.18
amazon factura las compras,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar mis compras en amazon""",3,5,7.9
distribuidora de productos de belleza,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[productos de belleza al por mayor],3,49,10.9
como pedir factura en amazon mexico,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""facturar amazon mexico""",3,8,14.55
victoria secret perfumes mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Wholesale_Phrase,"""mayorista de perfume""",3,4,4.22
seller central login,Phrase match,MX - Invoice AMZ,Invoice_Phrase,"""seller central""",3,13,9.03
playeras blancas mayoreo,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",3,9,2.64
maquillaje mayoreo monterrey,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,22,4.27
amazon por mayoreo,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",3,2,2.37
amazon business como funciona,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa de amazon""",3,40,9.74
proveedores de libros,Exact match,MX - Shops,Shops_Suppliers_Books Shop_Exact,[proveedores de libros],3,14,3.22
sillas de oficina en oferta,Exact match (close variant),MX - Office,Office Furniture_Exact,"""sillas para oficina economicas""",3,7,3.71
amazon registro,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",3,10,5.66
pacas de maquillaje alta gama,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,21,2.67
cuenta business amazon,Exact match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",3,8,0.37
donde comprar desodorantes por mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,5,7.75
papeleria para oficina,Exact match (close variant),MX - Office,Generic_Exact,[suministros oficina],3,46,6.93
distribuidora de perfumes tester,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,5,4.79
sillas para oficina usadas baratas,Phrase match (close variant),MX - Office,Office Furniture_Exact,"""sillas para oficina economicas""",3,4,3.34
mayoristas de maquillaje,Exact match (close variant),MX - Beauty,Makeup_Distributors_Exact,[distribuidores de maquillaje],3,9,3.8
como obtener factura de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",3,6,17.86
organizador de papeles,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",3,24,2.96
paca de perfumes originales,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,4,3.9
respaldo para silla de oficina,Phrase match (close variant),MX - Office,Generic_Phrase,"""suministros oficina""",3,35,3.42
cosas para escritorio de oficina,Exact match (close variant),MX - Office,Generic_Exact,[equipamiento de escritorio],3,18,4.83
amazon central seller login,Phrase match,MX - Invoice AMZ,Invoice_Phrase,"""seller central""",3,19,17.73
sillas para barberia,Exact match (close variant),MX - Beauty,Furniture_Hair_Exact,[sillas de barbero],3,38,4.26
perfumes mayoreo mexico,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,11,3.39
donde comprar cosmeticos por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[productos de belleza al por mayor],3,6,10.32
proveedor de maquillaje mayoreo,Exact match (close variant),MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],3,12,7.95
como sacar una factura de amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Exact,[factura amazon],3,14,19.75
chocolates mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",3,30,3.96
venta de abarrotes por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos de alimentación""",3,13,4.64
mobiliario para restaurante usado,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""mobiliario de restaurante""",3,16,2.38
pestañas por mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,9,3.21
costo de amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",3,16,12.37
como recibir paquetes de amazon en mi negocio,Phrase match,MX - Brand Phrase,Pure_Phrase,"""amazon negocios""",3,23,15.53
amazon pymes,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",3,3,4.66
gomitas a mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",3,13,4.76
venta de cerveza a precio de fábrica,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor bebidas""",3,17,4.97
comprar iphone por mayoreo,Phrase match (close variant),MX - Electronics,Cell Phones_Distributor_Phrase,"""distribuidores de smartphone""",3,3,3.14
venta de tacos de canasta por mayoreo cdmx,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,10,4.3
materiales para construcción precios,Phrase match (close variant),MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de material de construcción""",3,18,7.69
materiales para construccion,Exact match (close variant),MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de material de construcción""",3,23,7.69
proveedores de platos para restaurantes,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",3,3,3.97
proveedor de skin care,Exact match (close variant),MX - Beauty,Skin Care_Supplier_Exact,[proveedor de productos para el cuidado de la piel],3,7,2.84
italia deluxe distribuidor,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",3,12,3.73
ropa para mascotas mayoreo,Exact match (close variant),MX - Pets,Apparel_Wholesales_Exact,[Ropa para Mascotas al por Mayor],3,11,6.89
electrodomesticos mayoreo,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",3,10,9.8
comercializadora papeleria,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",3,8,13.43
escobas perico mayoreo precio,Phrase match (close variant),MX - Janitorial,Tools_Supplier_Phrase,"""proveedor de escobas""",3,8,3.63
amazon facturacion electronica,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",3,32,15.43
papelería por mayoreo en línea,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",3,11,5.41
perfumes originales al mayoreo,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,5,4.8
como funciona amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa de amazon""",3,17,5.49
promocion amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",3,12,0.93
proveedores de mini perfumes originales,Phrase match,MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,6,3.29
extintores precios,Phrase match (close variant),MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de extintores""",3,31,6.41
iphones a mayoreo,Phrase match (close variant),MX - Electronics,Cell Phones_Distributor_Phrase,"""distribuidores de smartphone""",3,14,4.58
donde surtir mi papelería,Phrase match (close variant),MX - Office,Office Furniture_Wholesale_Phrase,"""papeleras al por mayor""",3,7,13.39
precio de cerveza por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",3,6,3.45
máquina para hacer hielo industrial precio,Phrase match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",3,17,3.66
mochilas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,10,4.45
horno para panaderia,Phrase match (close variant),MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",3,23,9.52
mesas y sillas para eventos por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,7,5.86
proveedores en mexico,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,22,4.6
donde comprar productos para revender,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],3,15,3.58
articulos chinos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,8,6.28
compra por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],3,10,2.13
espejos de bolsillo mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,24,3.31
essentials mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",3,12,5.05
tiendas de mayoreo en monterrey,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",3,17,6.01
bolsas para mujer mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,10,8.28
distribuidores guadalajara,Phrase match (close variant),MX - Generic,Procurement_Suppliers_Phrase,"""suministro distribuidor""",3,3,7.77
proveedores de loza para restaurantes,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",3,8,4.14
abarrotes baratos para negocio,Phrase match (close variant),MX - Generic,Purchasing_Enterprises_Phrase,"""comprar como negocio""",3,8,11.3
airone mayoreo,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,53,4
tienda virtual,Phrase match (close variant),MX - Generic,Enterprises_Shop_Phrase,"""tienda online para negocios""",3,173,8.73
gorras por mayoreo monterrey,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,9,5.12
chocolate ferrero por mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,4,4.84
donde puedo comprar gorras originales por mayoreo,Phrase match (close variant),MX - Shops,Shops_Wholesales_Accessories_Phrase,"""venta mayorista de accesorios de moda""",3,4,7.17
abarrotes mayoristas a domicilio,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,3,5.05
abanicos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,28,4.59
mayoreo de calcetines,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,8,5.99
botellas para salsa mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,2,4.78
pomaderas de plastico mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,7,4.55
botellas para agua mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesalers_Phrase,"""mayorista españa""",3,21,5.79
donde comprar por mayoreo en linea,Exact match (close variant),MX - Generic,Wholesales_Exact,[comprar al por mayor en línea],3,9,2.35
donde comprar por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Products_Exact,[artículos al por mayor],3,8,11.12
refrigerador para carniceria,Phrase match (close variant),MX - Generic,Enterprises_Products_Phrase,"""equipamiento comercial""",3,8,5.63
platos para negocio,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",3,16,8.68
proveedores de tornillos en méxico,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,13,3.58
proveedores essentials,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,17,3.23
tienda mayoreo en linea,Exact match (close variant),MX - Generic,Wholesales_Exact,[comprar al por mayor en línea],3,17,2.25
venta de loza por mayoreo en puebla,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",3,7,3.31
lucky gummys mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",3,42,3.14
peelerz gomitas mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,10,3.99
proveedor de alpura,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de productos lácteos""",3,9,4.83
proveedores de vasos para cafe,Phrase match,MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",3,15,6.8
boing por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",3,14,3.59
shopify méxico,Phrase match (close variant),MX - Generic,Enterprises_Shop_Phrase,"""tienda online para negocios""",3,78,9.15
calcetines por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,12,3.08
mesas plegables por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,7,4.19
proveedores guadalajara,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,29,2.65
comprar para revender,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",3,14,6.79
frascos de vidrio mayoreo baratos,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,8,4.72
venta a mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],3,19,8.34
platos para restaurante,Phrase match (close variant),MX - Food,Products_Phrase,"""productos para hostelería""",3,12,3.75
termos mayoreo guadalajara,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,5,4.1
tapetes de yoga mayoreo,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,11,8.38
donde puedo comprar por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Products_Exact,[artículos al por mayor],3,5,1.89
bolsas de papel kraft mayoreo personalizadas,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,8,5
tecnobackmayoristas com,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,7,5.67
maquinas para hacer hielo para negocio,Exact match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",3,13,3.19
plumas bic mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,8,7
sillas y mesas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,10,4.09
floreros mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,24,4.11
productos para revender directo de fábrica,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""venta directa al por mayor""",3,23,3.39
platos y vasos de plastico por mayoreo,Phrase match (close variant),MX - Food,Glassware_Suppliers_Phrase,"""proveedores vasos""",3,3,8.81
máquinas de hielo industrial,Exact match (close variant),MX - Food,Restaurant_Phrase,"""máquinas de hielo profesionales""",3,5,2.81
vasos con popote mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,14,4.4
proveedor de botellas de plástico,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,17,4.72
compras por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[comprar al por mayor en línea],3,34,4.17
mercancía para revender,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",3,6,6.82
proveedores mayoristas,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedor para mayoristas],3,14,9.57
sillas para taqueria,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para cafetería""",3,2,4.04
platos de loza por mayoreo,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores vajillas""",3,10,4.06
lentes mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,7,4.52
cascos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,5,5.87
playeras oversize mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,15,6.01
que puedo comprar para revender,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",3,8,5.07
materia prima para productos de limpieza a mayoreo,Phrase match (close variant),MX - Generic,Procurement_Products_Phrase,"""suministro de productos""",3,9,4.91
productos para revender directo de fábrica méxico,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",3,14,5.72
gorras premium mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,13,4.97
new era mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,8,4.42
como comprar en china al por mayor,Phrase match (close variant),MX - Generic,Purchasing_Products_Phrase,"""comprar mercancías""",3,8,8.46
accesorios mayoreo,Phrase match (close variant),MX - Shops,Shops_Suppliers_Accessories_Phrase,"""proveedores de accesorios de moda""",3,13,2.51
jabon hotelero por mayor,Phrase match (close variant),MX - Janitorial,Soap_Wholesale_Phrase,"""mayorista de jabón""",3,7,3.25
termos por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,19,4.77
proveedores de termos de acero inoxidable,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedores comerciales""",3,9,10.58
portaretratos mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,17,7.68
balones gaser mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""equipo al por mayor""",3,23,5.92
mayoreo calcetines de 3 pesos,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,8,3.63
airpods mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,10,3.76
como solicitar factura en amazon mexico,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""facturar amazon mexico""",3,15,18.85
distribuidor de perfumes originales,Phrase match (close variant),MX - Beauty,Fragrance_Supplier_Phrase,"""proveedor de perfume""",3,11,7.26
bolsas de manta mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,18,4.71
playeras oversize mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,5,3.37
proveedores para negocios,Exact match,MX - Generic,Suppliers_Enterprises_Exact,[proveedores para negocios],3,16,5.1
sandalias por mayoreo económicas,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,7,5.31
bolsas para mandado mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,19,3.85
llaveros baratos al por mayor,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,8,3.53
maruchan mayoreo guadalajara,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,18,5.19
loza economica para restaurantes,Phrase match (close variant),MX - Food,Cultlery_Phrase,"""vajilla profesional""",3,7,14.56
equipo para cafeteria,Phrase match (close variant),MX - Food,Generic_Restaurant_Phrase,"""suministros para restaurantes""",3,11,3.6
abasteo mx,Phrase match (close variant),MX - Generic,Enterprises_Buy_Phrase,"""compras para negocios""",3,56,11.11
gorras para sublimar mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,17,7.94
tiendas mayoristas,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],3,69,6.69
por mayoreo,Exact match (close variant),MX - Generic,Core_Wholesalers_Exact,[mayoreo],3,30,3.96
tiras exhibidoras para botanas,Phrase match (close variant),MX - Generic,Enterprises_Phrase,"""accesorios comerciales""",3,9,9.88
proveedores de relojes,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,5,5.67
mayoreo termos acero inoxidable,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,13,6
tablas para charcutería mayoreo,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,12,8.49
plumas por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,7,4.12
donde conseguir proveedores,Exact match (close variant),MX - Generic,Suppliers_Enterprises_Exact,[proveedores para negocios],3,18,6.34
corporativo amazon cdmx,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",3,20,20.28
amazon spn,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",3,56,20.06
mesas y sillas para negocio,Phrase match (close variant),MX - Shops,Shops_Furniture_Phrase,"""mobiliario para tiendas""",3,19,3.19
peelerz mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,23,4.78
proveedores cdmx,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",3,22,8.06
envases de plástico mayoreo monterrey,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",3,28,3.99
cosas baratas para revender,Phrase match (close variant),MX - Generic,Core_Wholesales_Products_Phrase,"""productos al por mayor""",3,3,2.44
crear cuenta de amazon business,Exact match (close variant),MX - Brand Phrase,Account_Phrase,"""amazon business cuenta""",3,6,1.27
amazon payee central,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",3,53,34.06
amazon business day,Phrase match,MX - Brand Phrase,Pure_Phrase,"""amazon business""",3,33,6.03
amazonsellercentral com login,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",3,10,11.96
compras a mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],3,10,6.57
porta cuentas restaurante,Phrase match (close variant),MX - Food,Shop_Phrase,"""tienda de hostelería""",3,10,7.16
1 hora mayoreo,Phrase match (close variant),MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",3,17,6.09
distribuidores de dulces por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[chucherías al por mayor],3,4,14.58
vendor amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresarial""",3,12,25.49
snacks coreanos mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,12,3.51
abarrotes baratos para negocio,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,9,4.28
carrier central amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",3,27,13.9
dulces a granel por kilo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de dulces""",3,13,3.16
gelatina d gari mayoreo,Phrase match (close variant),MX - Food,Food_Wholesale_Phrase,"""alimentos al por mayor""",3,7,3.83
botellas de plastico mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",3,16,6.07
lentes por mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",3,12,5.1
compras mx proveedores,Phrase match (close variant),MX - Generic,Procurement_Products_Phrase,"""suministro de productos""",3,42,9.78
proveedores de helados para negocio,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",3,19,5.3
libros mayoreo,Exact match (close variant),MX - Shops,Shops_Wholesales_Books Shop_Phrase,"""libros al por mayor""",3,18,14.64
