Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
primera compra amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",24,70,1.22
venta de cerveza a precio de fábrica,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",24,195,34.53
vendor central amazon,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",24,207,91.25
amazon business méxico,Exact match,MX - Brand Exact,Pure_Exact,[amazon business méxico],24,78,9.46
gorras mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",23,193,49.25
como se factura en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",23,92,110.65
amazon business primera compra,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",23,67,2.88
maquillaje elf mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",23,71,34.22
facturación amazon,Exact match,MX - Invoice AMZ,Invoice_Exact,[facturación amazon],23,121,96.37
como funciona amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",22,103,42.41
amazon dsp mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",22,164,114.85
facturacion amazon mexico,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturacion amazon mexico""",22,105,79.92
mayoristas,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],22,280,46.15
abasteo mx,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",22,471,45.34
tecnoback mayoristas,Phrase match (close variant),MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",22,136,38.49
facturar en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""facturar en amazon""",22,167,45.74
cupon amazon business,Phrase match,MX - Brand Phrase,Pure_Phrase,"""amazon business""",22,115,3.4
tecnoback mayoristas,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",21,263,31.09
amazon business account,Exact match,MX - Brand Exact,Account_Exact,[amazon business account],21,88,46.07
proveedores de maquillaje,Exact match (close variant),MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],21,90,29.7
muebles de oficina,Exact match,MX - Office,Furniture_Exact,[muebles de oficina],20,107,28.74
como facturar amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""como facturar amazon""",20,126,101.86
escritorio para oficina,Exact match,MX - Office,Office Furniture_Exact,[escritorio para oficina],20,174,39.22
muebles para oficina,Exact match,MX - Office,Office Furniture_Exact,[muebles para oficina],20,237,39.32
como facturar una compra en amazon,Exact match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""como facturar en amazon""",20,86,62.7
cosas por mayoreo para vender,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],19,115,46.59
silla para escritorio,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],19,204,26.93
proveedores chinos,Phrase match (close variant),MX - Generic,Suppliers_Products_Phrase,"""compras proveedor""",19,171,25.4
elf mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",19,67,27.88
proveedores de maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Distributors_Exact,[distribuidores de maquillaje],19,83,32.87
lotes de maquillaje americano,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",19,55,27.4
proveedor de maquillaje,Exact match,MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],19,99,45.18
escritorio oficina,Exact match (close variant),MX - Office,Office Furniture_Exact,[escritorios para oficina],19,149,45.88
provecomer,Phrase match (close variant),MX - Generic,Suppliers_Enterprises_Phrase,"""proveedor para empresas""",18,726,90
