Keyword	Match type	Campaign	Ad group	Final URL	Impr.	Clicks	Cost
"""bulk eggs"""	Phrase match	AU_Generic_P-V_Food	Food_Bulk_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_324237457563_y173370685170#foo-serv	10	3	8.51
"""bulk noodles"""	Phrase match	AU_Generic_P-V_Food	Food_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_332256565661_y173370685170	35	3	23.55
"""office accessories wholesale"""	Phrase match	AU_Generic_P-V_Office	Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_off_848457285520_y175041559581#off-pro	65	3	24.55
[work from home equipment]	Exact match	AU_Generic_P-V_Office	Wfh_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_off_511691122025_x175041561261#off-pro	20	3	19.56
[suppliers office]	Exact match	AU_Generic_P-V_Office	Suppliers_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_off_3946981585_x175041559861#off-pro	49	3	22.18
[how to create a business amazon account]	Exact match	AU_Brand_Exact	Account_Exact	https://business.amazon.com.au/?ref_=pd_sl_au_brand_core_376943159658_x182824221487	25	3	43.75
"""suppliers for companies"""	Phrase match	AU_Generic	Suppliers_Enterprises_Phrase	https://business.amazon.com.au/?ref=pd_sl_au_pv_1436375073055_y174297846370	28	3	43.96
"""shoes suppliers"""	Phrase match	AU_Generic_P-V_Apparel	Shoes_Suppliers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_309682605293_y179602178353	30	3	6.9
"""bulk t-shirts baby"""	Phrase match	AU_Generic_P-V_Apparel	Tops Baby_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_1437311869598_y179602183353	24	3	23.26
[bulk baby accessories]	Exact match	AU_Generic_P-V_Apparel	Accessories Baby_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_375965576819_x182644073401	33	3	12.16
"""bulk bath gel"""	Phrase match	AU_Generic_P-V_Beauty	Bath_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_bea_489154522045_y178961840816	18	3	10.22
[wholesale nail polish]	Exact match	AU_Generic_P-V_Beauty	Nail-Care_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_295234831902_x181712970841#sal-spa	4	3	13.37
"""wholesale hair extension"""	Phrase match	AU_Generic_P-V_Beauty	Hair-Appliances_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_1347584774_y178961837896#sal-spa	75	3	14.45
"""paper towels supplier"""	Phrase match	AU_Generic_P-V_Janitorial	Paper_Supplier_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_jan_319260926589_y175435633902#cle-jan	68	3	21.27
[bulk pasta]	Exact match	AU_Generic_P-V_Food	Food_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_3798953375_x173370681730	20	3	6.15
"""noodles wholesalers"""	Phrase match	AU_Generic_P-V_Food	Food_Wholesalers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_838618101490_y173370685610	45	3	9.86
"""bulk wigs"""	Phrase match	AU_Generic_P-V_Beauty	Hair-Appliances_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_bea_411277741668_y178961838456	9	3	14.25
"""bulk combs"""	Phrase match	AU_Generic_P-V_Beauty	Hair-Appliances_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_bea_303936291788_y178961838456	25	3	38.76
[wholesale soap]	Exact match	AU_Generic_P-V_Janitorial	Soap_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_jan_24880422_x175435631182#cle-jan	28	3	24.21
"""industrial all purpose cleaners"""	Phrase match	AU_Generic_P-V_Janitorial	Industrial-Chemicals_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_jan_623678540359_y175435632902#cle-jan	33	3	16.39
"""commercial coffee machines"""	Phrase match	AU_Generic_P-V_Food	Coffee Machines_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_288711649_y173370683490	18	3	9.57
"""jumpers suppliers"""	Phrase match	AU_Generic_P-V_Apparel	Tops_Suppliers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_1178272474246_y179602179273	15	3	20.34
[party suppliers]	Exact match	AU_Generic_P-V_Celebrations	Party_Suppliers_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_celec_101735944_x175435639102	75	3	30.37
[wholesale hair extension]	Exact match	AU_Generic_P-V_Beauty	Hair-Appliances_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_614434521_x181712967481#sal-spa	10	3	34.32
"""buy hotel furniture"""	Phrase match	AU_Generic_P-V_Hospitality	Furniture_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_hosp_298364008509_y182023549910#foo-ser	41	3	28.53
[hospitality furniture]	Exact match	AU_Generic_P-V_Hospitality	Furniture_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_hosp_156945209_x182023550070#foo-ser	76	3	24.53
[hotel supplies]	Exact match	AU_Generic_P-V_Hospitality	Hospitality_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_hosp_105363623_x182023550150#foo-ser	32	3	11.75
"""disinfectants supplier"""	Phrase match	AU_Generic_P-V_Janitorial	Detergent_Supplier_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_jan_1417590816475_y175435634062#cle-jan	44	3	26.94
"""bulk strings"""	Phrase match	AU_Generic_P-V_Apparel	Underwear_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_465464998557_y179602181513	28	3	29.43
"""commercial milk frothers"""	Phrase match	AU_Generic_P-V_Food	Coffee Machines_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_433382838935_y173370683490	7	3	11.77
[commercial woks]	Exact match	AU_Generic_P-V_Food	Pans_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_316039419_x173370682250	19	3	16.81
[makeup suppliers]	Exact match	AU_Generic_P-V_Beauty	Makeup_Supplier_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_360599934917_x181712969401#sal-spa	30	3	14.16
"""wholesale deodorants"""	Phrase match	AU_Generic_P-V_Beauty	Skin-Care_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_499444036704_y178961838416#sal-spa	10	3	16.85
[wholesale lipstick]	Exact match	AU_Generic_P-V_Beauty	Makeup_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_301419703911_x181712970441#sal-spa	14	3	11.95
[wholesale makeup]	Exact match	AU_Generic_P-V_Beauty	Makeup_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_296400528_x181712970441#sal-spa	17	3	12.06
[bulk water glasses]	Exact match	AU_Generic_P-V_Food	Glassware_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_299842104689_x173370678930	16	3	18.01
[bulk champagne glasses]	Exact match	AU_Generic_P-V_Food	Glassware_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_661142839_x173370678930	20	3	20.24
"""wholesale honey jars"""	Phrase match	AU_Generic_P-V_Food	Plates_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_360066757634_y173370687330	5	3	16.79
"""bulk cosmetic bags"""	Phrase match	AU_Generic_P-V_Beauty	Makeup_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_bea_296226737894_y178961837936	6	3	17.07
[wholesale peroxide]	Exact match	AU_Generic_P-V_Beauty	Hair-Styling_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_341985959034_x181712970401#sal-spa	13	3	32.62
[jars bulk]	Exact match	AU_Generic_P-V_Food	Plates_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_296721603491_x173370681010	12	3	36.9
"""laptops distributor"""	Phrase match	AU_Generic_P-V_Electronics	Computers_Distributor_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_417780382046_y184975937464#comp	21	3	22.89
"""wholesale take out containers"""	Phrase match	AU_Generic_P-V_Food	Kitchen Tools_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_486930736_y173370686370	38	3	8.59
[dinnerware sets suppliers]	Exact match	AU_Generic_P-V_Food	Cultlery_Suppliers_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_453287233639_x173370682050	11	3	26.11
[commercial food warmers]	Exact match	AU_Generic_P-V_Food	Serving Line_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_2977536450_x173370677410	51	3	12.9
"""bulk chopsticks"""	Phrase match	AU_Generic_P-V_Food	Cultlery_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_303907355425_y173370684410	31	3	17.95
"""bulk take out containers"""	Phrase match	AU_Generic_P-V_Food	Kitchen Tools_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_324495143897_y173370686130	30	3	14.6
"""bulk beer glasses"""	Phrase match	AU_Generic_P-V_Food	Glassware_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_304572164833_y173370685810	19	3	16.62
"""bulk cocktail glasses"""	Phrase match	AU_Generic_P-V_Food	Glassware_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_306076548380_y173370685810	10	3	21.67
[bulk straws]	Exact match	AU_Generic_P-V_Food	Barware_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_3743712817_x173370681290	44	3	27.31
[bulk buy cadbury chocolate]	Exact match	AU_Generic_P-V_Food	Sweets_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_457813736132_x173370677930	14	3	15.34
"""bulk wine glasses"""	Phrase match	AU_Generic_P-V_Food	Glassware_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_423538217_y173370685810	38	3	6.64
[wholesale dinnerware sets]	Exact match	AU_Generic_P-V_Food	Cultlery_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_298435683315_x173370678850	22	4	23.09
[wholesale water]	Exact match	AU_Generic_P-V_Food	Food_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_300125872478_x173370681770	48	4	15.93
[wholesale sugar]	Exact match	AU_Generic_P-V_Food	Food_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_1735961668_x173370681770	22	4	34.34
"""hvac equipment"""	Phrase match	AU_Generic_P-V_Industrial	HVAC_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ind_260165521_y179165227578#mro	57	4	26.92
"""mens wholesale shirts"""	Phrase match	AU_Generic_P-V_Apparel	Tops Men_Wholesales_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_299000806460_y179602179313	47	4	21.87
"""wholesale shorts"""	Phrase match	AU_Generic_P-V_Apparel	Bottoms_Wholesales_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_308646400686_y179602178633	63	4	15.34
"""wholesale beach clothing"""	Phrase match	AU_Generic_P-V_Apparel	Swimwear_Wholesales_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_323386853659_y179602180953	66	4	19.01
"""jeans suppliers"""	Phrase match	AU_Generic_P-V_Apparel	Bottoms_Suppliers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_313282366931_y179602179993	44	4	18.98
"""distributors industry"""	Phrase match	AU_Generic_P-V_Industry	Distributors_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ind_1438532851341_y176863278383	124	4	19.77
[order stationery]	Exact match	AU_Generic_P-V_Office	Stationery_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_off_307417701_x175041559661#off-pro	133	4	19.76
"""wholesale outlet"""	Phrase match	AU_Generic	Wholesales_Buy_Phrase	https://business.amazon.com.au/?ref=pd_sl_au_pv_300301645866_y174297845650	17	4	40.17
"""wholesale online shop"""	Phrase match	AU_Generic	Wholesales_Buy_Phrase	https://business.amazon.com.au/?ref=pd_sl_au_pv_2175851005_y174297845650	12	4	17
[bulk products]	Exact match	AU_Generic	Bulk_Products_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_309091662843_x183777806288	18	4	34.22
[bulk packaging]	Exact match	AU_Generic	Bulk_Products_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_296031446282_x183777806288	23	4	33.19
[bulk bath robes]	Exact match	AU_Generic_P-V_Apparel	Sleepwear_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_312991677816_x182644071281	11	4	29.35
"""bulk baby clothing sets"""	Phrase match	AU_Generic_P-V_Apparel	Accessories Baby_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_2266823248542_y179602181273	12	4	14.78
"""wipes supplier"""	Phrase match	AU_Generic_P-V_Janitorial	Tools_Supplier_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_jan_357836460605_y175435632382#cle-jan	34	4	30.22
"""bulk cereal bars"""	Phrase match	AU_Generic_P-V_Food	Food_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_381929981693_y173370685170	14	4	26.46
"""bulk pasta"""	Phrase match	AU_Generic_P-V_Food	Food_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_353798504327_y173370685170	19	4	9.45
"""bulk coffee"""	Phrase match	AU_Generic_P-V_Food	Food_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_320208613154_y173370685170	55	4	13.6
[bulk whisky]	Exact match	AU_Generic_P-V_Food	Drinks_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_309115171166_x173370678890	22	4	14.71
"""stationery procurement"""	Phrase match	AU_Generic_P-V_Office	Procurement_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_off_1435277388374_y175041558861#off-pro	47	4	15.23
[amazon business account review]	Exact match	AU_Brand_Exact	Account_Exact	https://business.amazon.com.au/?ref_=pd_sl_au_brand_core_336296668256_x182824221487	97	4	82.61
"""wholesale socks"""	Phrase match	AU_Generic_P-V_Apparel	Hosiery & Socks_Wholesales_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_298581530584_y179602182433	44	4	41.24
"""gloves suppliers"""	Phrase match	AU_Generic_P-V_Apparel	Accessories_Suppliers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_283853002_y179602179833	20	4	21.88
"""wholesale brushes"""	Phrase match	AU_Generic_P-V_Beauty	Hair-Appliances_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_434878594_y178961837896#sal-spa	16	4	18.61
"""bulk pans"""	Phrase match	AU_Generic_P-V_Food	Cookware_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_508541296220_y173370683970	39	4	17.38
[bulk rice]	Exact match	AU_Generic_P-V_Food	Food_Bulk_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_1794615004_x173370681730	69	4	10.66
[wholesale canned food]	Exact match	AU_Generic_P-V_Food	Food_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_303975605503_x173370681770	27	4	32.13
[t-shirts distributors]	Exact match	AU_Generic_P-V_Apparel	Tops_Distributors_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_567395503096_x182644071561	21	4	22.06
[wholesale deodorants]	Exact match	AU_Generic_P-V_Beauty	Skin-Care_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_379292619251_x181712968441#sal-spa	13	4	17.57
"""milk wholesalers"""	Phrase match	AU_Generic_P-V_Food	Drinks_Wholesalers_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_318663447725_y173370685130#foo-serv	38	4	16.01
"""wholesale laptops"""	Phrase match	AU_Generic_P-V_Electronics	Computers_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_ele_42817971_y184975937504#comp	27	4	30.13
[wholesale cereals]	Exact match	AU_Generic_P-V_Food	Food_Wholesale_Exact	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_foo_305796650356_x173370681770	16	4	25.03
"""bulk laundry"""	Phrase match	AU_Generic_P-V_Food	Linens_Bulk_Phrase	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_AU_pv_foo_3468758987_y173370686570	38	4	9.91
"""boots distributors"""	Phrase match	AU_Generic_P-V_Apparel	Shoes_Distributors_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_312881614059_y179602178873	30	4	20.96
"""event distributors"""	Phrase match	AU_Generic_P-V_Celebrations	Distributors_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_celec_1437368786111_y183739365732	17	4	12.69
"""wholesale bath gel"""	Phrase match	AU_Generic_P-V_Beauty	Bath_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_384629747484_y178961838176#sal-spa	57	4	31.78
"""wholesale body soap"""	Phrase match	AU_Generic_P-V_Beauty	Bath_Wholesale_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_bea_315441651793_y178961838176#sal-spa	72	4	22.57
[gift wholesaler]	Exact match	AU_Generic_P-V_Shops	Wholesalers_Gifts	https://business.amazon.com.au/?ref=pd_sl_AU_pv_sho_12780071_x179602108233	29	4	20.55
"""wholesale gift distributors"""	Phrase match	AU_Generic_P-V_Shops	Distributors_Gifts_Phrase	https://business.amazon.com.au/?ref=pd_sl_AU_pv_sho_308314799402_y179602106593	74	4	33.73
"""furniture hotel"""	Phrase match	AU_Generic_P-V_Hospitality	Furniture_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_hosp_309328327133_y182023549910#foo-ser	62	4	21.25
"""hotel supplies"""	Phrase match	AU_Generic_P-V_Hospitality	Products_Phrase	https://business.amazon.com.au/en/supplies?ref=pd_sl_AU_pv_hosp_58066831_y182023549670#foo-ser	45	4	16.13
[purchasing bulk]	Exact match	AU_Generic	Bulk_Buy_Exact	https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_384458764778_x183777804368	54	4	19.78
