Search keyword report
"March 15, 2026 - March 28, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Currency code,Max. CPC,Final URL,Impr.,Clicks,Cost,CTR,Avg. CPC,Base max. CPC
Enabled,"""wholesale socks""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Limited,below first page bid,USD,1.67,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_298581530584_y179602182433,36,4,41.24,11.11%,10.31, --
Enabled,"""gloves suppliers""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,Limited,below first page bid,USD,5.98,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_283853002_y179602179833,20,4,21.88,20.00%,5.47, --
Enabled,"""bags suppliers""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,Limited,below first page bid,USD,0.92,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_311851139268_y179602179833,134,22,103.67,16.42%,4.71, --
Enabled,[wholesale sportswear],Exact match,AU_Generic_P-V_Apparel,Sportware_Wholesales_Exact,Eligible,,USD,7.62,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_25470140_x182644073201,25,4,27.65,16.00%,6.91, --
Enabled,[bulk baby clothing sets],Exact match,AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Exact,Limited,below first page bid,USD,5.98,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_928466376397_x182644073401,20,3,17.81,15.00%,5.94, --
Enabled,"""bookbags suppliers""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,Limited,below first page bid,USD,1.08,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_1434094900780_y179602179833,39,3,17.54,7.69%,5.85, --
Enabled,[bulk baby accessories],Exact match,AU_Generic_P-V_Apparel,Accessories Baby_Bulk_Exact,Limited,below first page bid,USD,6.78,https://business.amazon.com.au/en/solutions/bulk-buying?ref=pd_sl_au_pv_app_375965576819_x182644073401,15,1,6.59,6.67%,6.59, --
Enabled,"""socks suppliers""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Limited,below first page bid,USD,2.41,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_311963204297_y179602179553,36,4,21.04,11.11%,5.26, --
Enabled,"""other suppliers""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Suppliers_Phrase,Limited,below first page bid,USD,1.43,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_419675280212_y179602179553,443,31,187.31,7.00%,6.04, --
Enabled,"""headwear suppliers""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,Limited,below first page bid,USD,0.81,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_311941582215_y179602179833,72,13,77.33,18.06%,5.95, --
Enabled,"""wholesale other""",Phrase match,AU_Generic_P-V_Apparel,Hosiery & Socks_Wholesales_Phrase,Limited,below first page bid,USD,3.47,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_540288492665_y179602182433,926,112,467.45,12.10%,4.17, --
Enabled,[shoes distributors],Exact match,AU_Generic_P-V_Apparel,Shoes_Distributors_Exact,Limited,below first page bid,USD,6.78,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_308147199977_x182644071241,6,1,4.51,16.67%,4.51, --
Enabled,"""bonnets suppliers""",Phrase match,AU_Generic_P-V_Apparel,Accessories_Suppliers_Phrase,Limited,below first page bid,USD,6.78,https://business.amazon.com.au/en/supplies?ref=pd_sl_au_pv_app_1434094900740_y179602179833,1,1,3.82,100.00%,3.82, --
