keyword,kw_match_type,campaign,ad_group,ref_tag,kw_clicks,kw_report_cost,regs,st_total_clicks,st_total_cost,search_term_count,cpa_kw_report,reg_status
"""commercial take out containers""",Phrase match,AU_Generic_P-V_Food,Kitchen Tools_Phrase,pd_sl_AU_pv_foo_2291754366874_y173370686290,115,411.29,4,33,136.58,27,102.82,HAS_REGS
"""ingredients wholesale""",Phrase match,AU_Generic_P-V_Food,Wholesales_Food_Phrase,pd_sl_AU_pv_foo_510213213832_y173370688530,31,102.22,1,10,32.29,10,102.22,HAS_REGS
"""bulk party""",Phrase match,AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,pd_sl_AU_pv_celec_714057231_y183739365532,51,300.77,3,22,128.11,16,100.26,HAS_REGS
[bulk drinks],Exact match,AU_Generic_P-V_Food,Food_Bulk_Exact,pd_sl_AU_pv_foo_4358061107_x173370681730,17,99.7,1,17,99.7,7,99.7,HAS_REGS
"""bulk party decorations""",Phrase match,AU_Generic_P-V_Celebrations,Party_Bulk_Phrase,pd_sl_AU_pv_celec_169094804_y183739365532,18,96.21,1,4,23.69,4,96.21,HAS_REGS
[business prime account cost],Exact match,AU_Brand_Exact,Prime_Exact,pd_sl_au_brand_core_1374483578072_x182824221727,16,169.59,2,11,112.06,9,84.8,HAS_REGS
"""gastronomy tools""",Phrase match,AU_Generic_P-V_Food,Tools_Phrase,pd_sl_AU_pv_foo_370973176453_y173370688250,20,82.76,1,9,35.43,9,82.76,HAS_REGS
"""glassware wholesalers""",Phrase match,AU_Generic_P-V_Food,Cultlery_Wholesalers_Phrase,pd_sl_AU_pv_foo_318860268161_y173370684690,29,161.66,2,13,64.62,11,80.83,HAS_REGS
"""bulk boxed chocolate""",Phrase match,AU_Generic_P-V_Food,Food_Bulk_Phrase,pd_sl_AU_pv_foo_1436450656530_y173370685170,37,160.03,2,21,83.14,17,80.02,HAS_REGS
[how to get amazon business account],Exact match,AU_Brand_Exact,Navigation_Exact,pd_sl_au_brand_core_376943159738_x182824221567,20,157.25,2,13,80.28,10,78.63,HAS_REGS
[business amazon],Exact match,AU_Brand_Exact,Pure_Exact,pd_sl_au_brand_core_5033848589_x182824221527,72,155.44,2,71,151.45,11,77.72,HAS_REGS
